epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.64305,0.65666,0.54764,0.85044,0.96773,0.95522,0.93229,0.7608,0.71577,0.51882,0.86001,0.00012,0.00012,0.00012
2,5.43896,0.67583,0.52925,0.85781,0.96677,0.95522,0.93016,0.7566,0.73734,0.59033,0.86642,0.000253565,0.000253565,0.000253565
3,7.13495,0.72173,0.59488,0.86991,0.96705,0.95522,0.93027,0.76937,0.73339,0.57127,0.85849,0.0003802,0.0003802,0.0003802
4,8.8131,0.72205,0.54434,0.86049,0.96807,0.95522,0.92903,0.76485,0.7156,0.55581,0.85781,0.000499905,0.000499905,0.000499905
5,10.4726,0.69315,0.55167,0.86527,0.96778,0.95522,0.92795,0.74707,0.6977,0.5199,0.85715,0.00061268,0.00061268,0.00061268
6,12.153,0.64909,0.51541,0.84715,0.96808,0.95522,0.92907,0.76861,0.69611,0.53364,0.85709,0.000718525,0.000718525,0.000718525
7,13.8546,0.6974,0.52114,0.85045,0.96823,0.95522,0.93004,0.76281,0.72494,0.54151,0.8605,0.00081744,0.00081744,0.00081744
8,15.4752,0.70119,0.52484,0.8567,0.96838,0.95522,0.92867,0.77631,0.69163,0.53544,0.85939,0.000909425,0.000909425,0.000909425
9,17.1673,0.66916,0.515,0.84182,0.96848,0.95522,0.92938,0.76626,0.72451,0.53773,0.86757,0.00099448,0.00099448,0.00099448
10,18.8243,0.71478,0.57434,0.85655,0.96837,0.95522,0.93019,0.7778,0.70804,0.52199,0.85517,0.00107261,0.00107261,0.00107261
11,20.5207,0.67746,0.52697,0.85252,0.95336,0.9403,0.92418,0.76989,0.68787,0.49761,0.84269,0.0011438,0.0011438,0.0011438
12,22.2044,0.73529,0.57723,0.85494,0.96825,0.95522,0.93038,0.7691,0.69217,0.53168,0.84834,0.00120807,0.00120807,0.00120807
13,23.844,0.67702,0.5241,0.84445,0.96835,0.95522,0.93026,0.79122,0.67432,0.50811,0.83851,0.0012654,0.0012654,0.0012654
14,25.5798,0.66659,0.51044,0.83464,0.96867,0.95522,0.93035,0.7817,0.63991,0.49756,0.83931,0.00131581,0.00131581,0.00131581
15,27.2615,0.66197,0.52179,0.84813,0.9684,0.95522,0.92924,0.7858,0.66622,0.50194,0.84537,0.001307,0.001307,0.001307
16,29.0012,0.66136,0.49999,0.8453,0.96852,0.95522,0.92824,0.78256,0.66085,0.51754,0.84918,0.0012575,0.0012575,0.0012575
17,30.67,0.65213,0.5142,0.84217,0.9686,0.95522,0.92879,0.79806,0.63067,0.49532,0.84925,0.001208,0.001208,0.001208
18,32.409,0.68324,0.5439,0.85286,0.96856,0.95522,0.92885,0.78256,0.65153,0.4939,0.84624,0.0011585,0.0011585,0.0011585
19,34.1294,0.62923,0.50545,0.84234,0.96853,0.95522,0.9307,0.78895,0.62294,0.48531,0.84447,0.001109,0.001109,0.001109
20,35.832,0.62551,0.47666,0.83088,0.95327,0.9403,0.928,0.7899,0.63791,0.4879,0.8417,0.0010595,0.0010595,0.0010595
21,37.4902,0.63537,0.49198,0.84392,0.96849,0.95522,0.93382,0.80191,0.60541,0.47042,0.83648,0.00101,0.00101,0.00101
22,39.184,0.66546,0.54069,0.85508,0.96851,0.95522,0.93266,0.80473,0.58238,0.46234,0.83363,0.0009605,0.0009605,0.0009605
23,40.8562,0.63655,0.51454,0.83804,0.96839,0.95522,0.93101,0.78144,0.63046,0.47229,0.83361,0.000911,0.000911,0.000911
24,42.5797,0.58632,0.47198,0.82614,0.96855,0.95522,0.93246,0.8017,0.58585,0.4598,0.83211,0.0008615,0.0008615,0.0008615
25,44.2447,0.63595,0.5079,0.84082,0.96857,0.95522,0.93209,0.8058,0.5812,0.45707,0.83055,0.000812,0.000812,0.000812
26,45.9169,0.59709,0.4843,0.83614,0.96854,0.95522,0.9299,0.79047,0.59522,0.45572,0.82654,0.0007625,0.0007625,0.0007625
27,47.6347,0.61632,0.48474,0.84684,0.96858,0.95522,0.92952,0.80315,0.59437,0.45439,0.82732,0.000713,0.000713,0.000713
