epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1198.18,0.31259,0.28084,0.90822,0.99986,1,0.995,0.995,0.1351,0.11834,0.77203,0.0011288,0.0011288,0.0011288
46,1225.27,0.32599,0.2901,0.92095,0.99987,1,0.995,0.995,0.13237,0.12354,0.77281,0.001109,0.001109,0.001109
47,1252.66,0.31691,0.28542,0.91065,0.99986,1,0.995,0.995,0.13798,0.12575,0.77348,0.0010892,0.0010892,0.0010892
48,1279.97,0.31051,0.28138,0.90819,0.99986,1,0.995,0.995,0.12796,0.12204,0.76984,0.0010694,0.0010694,0.0010694
49,1307.36,0.32281,0.29325,0.90667,0.99985,1,0.995,0.995,0.12442,0.12172,0.76828,0.0010496,0.0010496,0.0010496
50,1335.76,0.30827,0.28023,0.90777,0.99986,1,0.995,0.995,0.12768,0.11657,0.77111,0.0010298,0.0010298,0.0010298
51,1364.02,0.29281,0.27338,0.9035,0.99986,1,0.995,0.995,0.1269,0.11588,0.77159,0.00101,0.00101,0.00101
52,1392.4,0.30425,0.28266,0.90537,0.99985,1,0.995,0.995,0.1238,0.11324,0.76843,0.0009902,0.0009902,0.0009902
53,1420.35,0.30199,0.27767,0.90878,0.99986,1,0.995,0.995,0.12771,0.12036,0.76941,0.0009704,0.0009704,0.0009704
54,1448.04,0.28575,0.26691,0.90704,0.99986,1,0.995,0.995,0.13248,0.12724,0.77285,0.0009506,0.0009506,0.0009506
55,1475.38,0.29017,0.2823,0.9079,0.99986,1,0.995,0.995,0.10884,0.10311,0.76552,0.0009308,0.0009308,0.0009308
56,1502.5,0.30444,0.28457,0.90483,0.99986,1,0.995,0.995,0.11248,0.11217,0.7657,0.000911,0.000911,0.000911
57,1530.01,0.27643,0.26827,0.89811,0.99986,1,0.995,0.995,0.11736,0.10675,0.76563,0.0008912,0.0008912,0.0008912
58,1557.61,0.27447,0.25985,0.90145,0.99986,1,0.995,0.995,0.11356,0.10643,0.76784,0.0008714,0.0008714,0.0008714
59,1587.12,0.28919,0.26278,0.89978,0.99986,1,0.995,0.995,0.13861,0.11512,0.77241,0.0008516,0.0008516,0.0008516
60,1615.1,0.27423,0.26102,0.89966,0.99986,1,0.995,0.995,0.13102,0.11469,0.77048,0.0008318,0.0008318,0.0008318
61,1642.36,0.28747,0.27621,0.90742,0.99986,1,0.995,0.995,0.10795,0.11008,0.76642,0.000812,0.000812,0.000812
62,1669.97,0.27195,0.25887,0.89909,0.99987,1,0.995,0.995,0.10348,0.09978,0.76394,0.0007922,0.0007922,0.0007922
63,1697.3,0.26802,0.25669,0.89824,0.99986,1,0.995,0.995,0.09816,0.09962,0.76182,0.0007724,0.0007724,0.0007724
64,1724.83,0.26934,0.26492,0.8953,0.99986,1,0.995,0.995,0.10192,0.09888,0.76363,0.0007526,0.0007526,0.0007526
65,1752.48,0.26114,0.25616,0.89047,0.99987,1,0.995,0.995,0.09641,0.09605,0.76222,0.0007328,0.0007328,0.0007328
66,1780.18,0.25462,0.24295,0.89077,0.99986,1,0.995,0.995,0.10148,0.09824,0.76288,0.000713,0.000713,0.000713
67,1807.64,0.25229,0.24606,0.89174,0.99933,1,0.995,0.995,0.10201,0.10288,0.76486,0.0006932,0.0006932,0.0006932
68,1834.76,0.2595,0.25211,0.89279,0.99986,1,0.995,0.995,0.0996,0.09593,0.76257,0.0006734,0.0006734,0.0006734
69,1862.84,0.25336,0.24411,0.8899,0.99986,1,0.995,0.995,0.09735,0.0968,0.76284,0.0006536,0.0006536,0.0006536
70,1891.68,0.25432,0.24464,0.88962,0.99986,1,0.995,0.995,0.0896,0.09775,0.7608,0.0006338,0.0006338,0.0006338
71,1919.62,0.24524,0.24037,0.88579,0.99987,1,0.995,0.995,0.08756,0.09118,0.76009,0.000614,0.000614,0.000614
72,1947.72,0.23773,0.23478,0.89054,0.99987,1,0.995,0.995,0.09197,0.09432,0.76156,0.0005942,0.0005942,0.0005942
73,1975.44,0.24659,0.24174,0.89032,0.99987,1,0.995,0.995,0.09226,0.09191,0.76147,0.0005744,0.0005744,0.0005744
74,2003.02,0.23701,0.24235,0.8914,0.99986,1,0.995,0.995,0.08723,0.08552,0.76048,0.0005546,0.0005546,0.0005546
75,2030.58,0.23197,0.23634,0.88716,0.99987,1,0.995,0.995,0.07771,0.08187,0.75808,0.0005348,0.0005348,0.0005348
76,2057.9,0.22914,0.23469,0.88352,0.99987,1,0.995,0.995,0.08008,0.08238,0.75816,0.000515,0.000515,0.000515
77,2085.41,0.23034,0.23325,0.88503,0.99987,1,0.995,0.995,0.07763,0.08281,0.75675,0.0004952,0.0004952,0.0004952
78,2112.85,0.23222,0.24151,0.88666,0.99987,1,0.995,0.995,0.07753,0.08232,0.75716,0.0004754,0.0004754,0.0004754
79,2139.89,0.22337,0.22988,0.88578,0.99986,1,0.995,0.995,0.06669,0.07812,0.75554,0.0004556,0.0004556,0.0004556
80,2166.66,0.22388,0.22148,0.8813,0.99987,1,0.995,0.995,0.07306,0.07949,0.7567,0.0004358,0.0004358,0.0004358
81,2193.83,0.23078,0.22879,0.88792,0.99987,1,0.995,0.995,0.0879,0.08516,0.75874,0.000416,0.000416,0.000416
82,2221.04,0.22204,0.22694,0.88402,0.99987,1,0.995,0.995,0.07588,0.08137,0.75676,0.0003962,0.0003962,0.0003962
83,2248.07,0.21276,0.22969,0.88388,0.99987,1,0.995,0.995,0.06638,0.07487,0.75575,0.0003764,0.0003764,0.0003764
84,2275.05,0.20668,0.21013,0.88295,0.99987,1,0.995,0.995,0.07605,0.08176,0.75654,0.0003566,0.0003566,0.0003566
85,2302.03,0.2162,0.22817,0.88253,0.99987,1,0.995,0.995,0.07473,0.07957,0.7569,0.0003368,0.0003368,0.0003368
86,2328.71,0.20784,0.21852,0.87926,0.99987,1,0.995,0.995,0.06314,0.07244,0.75551,0.000317,0.000317,0.000317
87,2355.34,0.20883,0.21311,0.87931,0.99987,1,0.995,0.995,0.06579,0.07095,0.75527,0.0002972,0.0002972,0.0002972
88,2382.15,0.20698,0.21947,0.88228,0.99987,1,0.995,0.995,0.06766,0.07402,0.7552,0.0002774,0.0002774,0.0002774
89,2408.8,0.20202,0.20872,0.87815,0.99987,1,0.995,0.995,0.06083,0.07114,0.75457,0.0002576,0.0002576,0.0002576
90,2435.89,0.21199,0.22707,0.88604,0.99987,1,0.995,0.995,0.06102,0.07125,0.75455,0.0002378,0.0002378,0.0002378
91,2478.96,0.08341,0.08915,0.79032,0.99987,1,0.995,0.995,0.06142,0.06665,0.75422,0.000218,0.000218,0.000218
92,2505.2,0.07872,0.08051,0.79642,0.99987,1,0.995,0.995,0.05583,0.06582,0.75363,0.0001982,0.0001982,0.0001982
93,2531.69,0.07766,0.07892,0.79488,0.99987,1,0.995,0.995,0.05708,0.06714,0.75399,0.0001784,0.0001784,0.0001784
94,2558.36,0.07534,0.0769,0.7989,0.99987,1,0.995,0.995,0.05257,0.06414,0.75369,0.0001586,0.0001586,0.0001586
95,2584.88,0.07221,0.07511,0.8004,1,1,0.995,0.995,0.05106,0.06198,0.75391,0.0001388,0.0001388,0.0001388
96,2611.7,0.0686,0.07204,0.79506,1,1,0.995,0.995,0.05072,0.05939,0.75367,0.000119,0.000119,0.000119
97,2638.17,0.06698,0.07086,0.79528,1,1,0.995,0.995,0.04585,0.05751,0.75284,9.92e-05,9.92e-05,9.92e-05
98,2664.81,0.0645,0.06875,0.79221,0.99987,1,0.995,0.995,0.04485,0.05491,0.7526,7.94e-05,7.94e-05,7.94e-05
99,2691.56,0.06272,0.06759,0.79911,0.99987,1,0.995,0.995,0.04386,0.05519,0.75254,5.96e-05,5.96e-05,5.96e-05
100,2718.16,0.0596,0.06534,0.79224,0.99987,1,0.995,0.995,0.04379,0.05495,0.7527,3.98e-05,3.98e-05,3.98e-05
