epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4475,1.82282,2.60414,1.70181,0.93616,0.76376,0.85233,0.64072,0.91352,1.58303,0.98558,0.000655556,0.000655556,0.000655556
2,24.7724,1.43654,1.72259,1.36911,0.96879,0.8125,0.8802,0.68813,0.89619,0.67266,0.97634,0.0012895,0.0012895,0.0012895
3,36.0944,1.35264,1.55725,1.28774,0.93336,0.80208,0.87249,0.67069,0.8617,0.66793,0.99273,0.00189044,0.00189044,0.00189044
4,47.5789,1.2546,1.39817,1.22812,0.95138,0.81541,0.88774,0.67549,0.84612,0.8388,0.95109,0.0018515,0.0018515,0.0018515
5,59.1714,1.20708,1.32876,1.1891,0.92393,0.8125,0.86717,0.68918,0.8915,0.91407,0.97284,0.001802,0.001802,0.001802
6,70.9119,1.18287,1.26426,1.18072,0.895,0.85417,0.88881,0.69563,0.88779,0.66106,0.94721,0.0017525,0.0017525,0.0017525
7,82.7287,1.10346,1.17277,1.14269,0.95607,0.86458,0.91004,0.72241,0.83601,0.58648,0.94924,0.001703,0.001703,0.001703
8,94.6979,1.07858,1.12628,1.1286,0.95023,0.89583,0.90926,0.71716,0.81172,0.65927,0.94658,0.0016535,0.0016535,0.0016535
9,106.858,1.02011,1.06266,1.11639,0.9538,0.86023,0.90321,0.70309,0.91363,0.6729,0.9938,0.001604,0.001604,0.001604
10,119.046,1.01023,1.05636,1.08612,0.92894,0.88542,0.90806,0.74758,0.75278,0.56114,0.91931,0.0015545,0.0015545,0.0015545
11,131.327,1.00217,1.00191,1.07767,0.97769,0.91305,0.9157,0.75191,0.75274,0.57579,0.922,0.001505,0.001505,0.001505
12,143.642,0.98426,1.00793,1.08023,0.94109,0.91667,0.91255,0.75739,0.71076,0.55445,0.90064,0.0014555,0.0014555,0.0014555
13,156.117,0.98486,0.99556,1.08537,0.95525,0.90625,0.91574,0.75042,0.71706,0.59676,0.90966,0.001406,0.001406,0.001406
14,168.5,0.9494,0.91626,1.06137,0.98777,0.84119,0.91501,0.74833,0.75154,0.61583,0.8967,0.0013565,0.0013565,0.0013565
15,180.896,0.93231,0.91333,1.05317,0.97965,0.91667,0.91796,0.76293,0.70271,0.57961,0.88115,0.001307,0.001307,0.001307
16,193.377,0.89857,0.90251,1.04211,0.97889,0.89583,0.91528,0.77159,0.69557,0.63898,0.88765,0.0012575,0.0012575,0.0012575
17,205.828,0.90411,0.88242,1.04018,0.96855,0.91667,0.91663,0.77589,0.66633,0.51868,0.8846,0.001208,0.001208,0.001208
18,218.381,0.87126,0.84199,1.03121,0.96141,0.875,0.91199,0.77278,0.68537,0.52263,0.88373,0.0011585,0.0011585,0.0011585
19,230.877,0.85793,0.84341,1.03657,0.9485,0.91667,0.91692,0.767,0.67899,0.50375,0.89667,0.001109,0.001109,0.001109
20,243.394,0.87362,0.87322,1.03667,0.96324,0.92708,0.91745,0.79148,0.64881,0.49709,0.87577,0.0010595,0.0010595,0.0010595
21,256.056,0.86596,0.84448,1.02847,0.98842,0.88886,0.91503,0.76298,0.66524,0.54461,0.86942,0.00101,0.00101,0.00101
22,268.717,0.82565,0.80377,1.01746,0.95917,0.90625,0.91669,0.78385,0.63181,0.51418,0.87456,0.0009605,0.0009605,0.0009605
23,281.27,0.83487,0.79492,1.02246,0.98886,0.92458,0.91714,0.7839,0.63498,0.48097,0.88285,0.000911,0.000911,0.000911
24,293.788,0.80171,0.76078,1.00603,0.98875,0.91547,0.91853,0.79277,0.64042,0.46298,0.87607,0.0008615,0.0008615,0.0008615
