epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.366,0.63245,0.5842,0.94234,0.98652,0.91667,0.93195,0.82373,0.56323,0.40924,0.85528,0.000655556,0.000655556,0.000655556
2,24.7179,0.65823,0.59273,0.94226,0.96735,0.92708,0.92525,0.80284,0.63028,0.47647,0.90464,0.00130041,0.00130041,0.00130041
3,36.0675,0.70203,0.61976,0.94647,0.96667,0.90625,0.92431,0.79894,0.6304,0.44904,0.89546,0.00192326,0.00192326,0.00192326
4,47.6401,0.71004,0.64188,0.95629,0.97764,0.91082,0.92132,0.73869,0.73793,0.51401,0.96139,0.001901,0.001901,0.001901
5,59.3406,0.73116,0.66468,0.96795,0.98666,0.92708,0.92036,0.78963,0.62211,0.44137,0.8758,0.001868,0.001868,0.001868
6,71.2179,0.72941,0.65504,0.96457,0.98874,0.915,0.9247,0.78488,0.67113,0.457,0.89478,0.001835,0.001835,0.001835
7,83.1668,0.70565,0.64028,0.95612,0.96723,0.92232,0.91967,0.77478,0.65994,0.8993,0.88674,0.001802,0.001802,0.001802
8,95.0486,0.71772,0.64255,0.95999,0.96365,0.90625,0.9174,0.77642,0.71273,0.50347,0.93913,0.001769,0.001769,0.001769
9,107.191,0.69708,0.65669,0.95993,0.94695,0.91667,0.91584,0.78111,0.62096,0.48742,0.89699,0.001736,0.001736,0.001736
10,119.39,0.71566,0.64798,0.94367,0.96704,0.91693,0.92577,0.81284,0.58357,0.44931,0.86362,0.001703,0.001703,0.001703
11,131.399,0.71526,0.65394,0.95116,0.97779,0.91703,0.9214,0.7925,0.60957,0.4473,0.87437,0.00167,0.00167,0.00167
12,143.626,0.69753,0.64428,0.94771,0.97609,0.91667,0.92356,0.81329,0.58216,0.46012,0.86527,0.001637,0.001637,0.001637
13,155.862,0.72249,0.65138,0.95846,0.97478,0.92708,0.92687,0.79243,0.61303,0.46824,0.89261,0.001604,0.001604,0.001604
14,168.174,0.67377,0.61119,0.94325,0.97996,0.88542,0.91406,0.7903,0.63187,0.53962,0.90635,0.001571,0.001571,0.001571
15,180.659,0.68191,0.6148,0.94256,0.97118,0.92708,0.91965,0.78285,0.62607,0.45628,0.90209,0.001538,0.001538,0.001538
16,193.063,0.67186,0.61524,0.93896,0.98875,0.91514,0.92102,0.81513,0.58944,0.43739,0.87802,0.001505,0.001505,0.001505
17,205.747,0.68745,0.61312,0.94374,0.98497,0.92708,0.92525,0.80573,0.592,0.44187,0.87628,0.001472,0.001472,0.001472
18,218.488,0.67046,0.59122,0.94501,0.9428,0.90625,0.92107,0.79103,0.61159,0.47498,0.90466,0.001439,0.001439,0.001439
19,231.416,0.65789,0.59809,0.94602,0.98883,0.9222,0.92046,0.81764,0.5652,0.41029,0.86982,0.001406,0.001406,0.001406
20,244.161,0.65881,0.61981,0.94393,0.96713,0.91943,0.92247,0.8085,0.58092,0.41489,0.88415,0.001373,0.001373,0.001373
21,256.786,0.66666,0.59844,0.94139,0.96657,0.92708,0.91948,0.80099,0.58261,0.43718,0.8719,0.00134,0.00134,0.00134
22,269.493,0.65706,0.59293,0.945,0.97561,0.90625,0.91758,0.80526,0.58277,0.42691,0.88813,0.001307,0.001307,0.001307
23,282.13,0.66434,0.58775,0.94815,0.98704,0.92708,0.92294,0.80736,0.59783,0.43187,0.89153,0.001274,0.001274,0.001274
24,294.735,0.6434,0.57615,0.93991,0.98527,0.92708,0.91767,0.81022,0.59793,0.46702,0.88949,0.001241,0.001241,0.001241
25,307.502,0.63608,0.57441,0.93245,0.9888,0.91941,0.91841,0.82036,0.55606,0.40422,0.8611,0.001208,0.001208,0.001208
26,320.256,0.62038,0.55262,0.92949,0.98061,0.91667,0.91887,0.82205,0.55748,0.417,0.85385,0.001175,0.001175,0.001175
27,333.044,0.67277,0.58464,0.93827,0.97658,0.92708,0.92607,0.81099,0.57564,0.39499,0.88112,0.001142,0.001142,0.001142
28,345.723,0.65528,0.57252,0.944,0.98528,0.91667,0.91723,0.80157,0.59545,0.42618,0.89912,0.001109,0.001109,0.001109
29,358.369,0.63166,0.55692,0.93144,0.97181,0.91667,0.91697,0.81757,0.56776,0.42055,0.88327,0.001076,0.001076,0.001076
30,371.133,0.63235,0.57031,0.92825,0.97353,0.91667,0.92376,0.8223,0.56206,0.40372,0.87856,0.001043,0.001043,0.001043
31,383.713,0.63817,0.55413,0.93295,0.97197,0.92708,0.91847,0.8226,0.56702,0.43214,0.88896,0.00101,0.00101,0.00101
