epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58687,3.91707,7.83258,3.25952,0,0,0,0,3.55366,7.83836,2.81979,0.00026,0.00026,0.00026
2,5.44995,3.30908,5.91613,2.58541,0.09424,0.26866,0.0616,0.01908,2.83489,4.32423,2.18436,0.000529308,0.000529308,0.000529308
3,7.28799,2.8036,3.17094,2.17054,0.46943,0.40299,0.39541,0.11809,2.4008,1.94201,1.80821,0.000787528,0.000787528,0.000787528
4,9.0453,2.15787,1.6037,1.53455,0.51054,0.59701,0.54014,0.25008,1.78441,1.93508,1.24579,0.00103466,0.00103466,0.00103466
5,10.817,1.63525,1.33175,1.19776,0.76436,0.53263,0.70972,0.35762,1.72853,2.08594,1.18306,0.0012707,0.0012707,0.0012707
6,12.6082,1.40219,1.07032,1.05019,0.86725,0.85075,0.89934,0.53775,1.44754,1.29674,1.10983,0.00149566,0.00149566,0.00149566
7,14.3296,1.34826,0.98326,1.0165,0.92185,0.88032,0.91174,0.54089,1.43691,1.15585,1.11268,0.00170953,0.00170953,0.00170953
8,16.1179,1.32725,0.9752,0.99484,0.93116,0.92537,0.91955,0.59051,1.31324,1.05242,1.0272,0.0017228,0.0017228,0.0017228
9,17.8925,1.19214,0.8996,0.96381,0.91059,0.91207,0.9197,0.58801,1.28486,0.9748,0.98292,0.0016832,0.0016832,0.0016832
10,19.6539,1.09882,0.82224,0.95965,0.92631,0.93812,0.92953,0.61757,1.2464,0.93525,0.99197,0.0016436,0.0016436,0.0016436
11,21.4526,1.11534,0.80307,0.93028,0.96687,0.89552,0.92986,0.65699,1.15885,0.87807,0.95345,0.001604,0.001604,0.001604
12,23.2355,1.15703,0.83953,0.93949,0.93697,0.89552,0.92071,0.63662,1.17737,0.84143,0.95543,0.0015644,0.0015644,0.0015644
13,25.0287,1.08671,0.82411,0.93718,0.96814,0.90709,0.92546,0.64982,1.124,0.80607,0.94157,0.0015248,0.0015248,0.0015248
14,26.7939,1.12689,0.8548,0.93955,0.95379,0.9242,0.93082,0.66681,1.10817,0.78594,0.9528,0.0014852,0.0014852,0.0014852
15,28.6016,1.02878,0.78074,0.93262,0.96827,0.9403,0.93458,0.68265,1.05297,0.76835,0.94305,0.0014456,0.0014456,0.0014456
16,30.4015,0.98154,0.76062,0.90112,0.96873,0.92489,0.92057,0.6816,1.04925,0.75684,0.92737,0.001406,0.001406,0.001406
17,32.2148,0.96326,0.75729,0.91699,0.96631,0.9403,0.93215,0.69196,1.05551,0.71885,0.94023,0.0013664,0.0013664,0.0013664
18,34.0596,0.93027,0.71894,0.90233,0.96705,0.9403,0.93239,0.69621,1.0333,0.70644,0.9204,0.0013268,0.0013268,0.0013268
19,35.8647,0.95445,0.73314,0.90348,0.96962,0.95284,0.93561,0.71679,0.98404,0.69779,0.91385,0.0012872,0.0012872,0.0012872
20,37.693,0.88618,0.68619,0.89666,0.95449,0.93901,0.93245,0.70406,1.01045,0.71336,0.92206,0.0012476,0.0012476,0.0012476
21,39.4926,0.89425,0.70189,0.89122,0.95452,0.93978,0.92847,0.70601,0.9629,0.70546,0.9161,0.001208,0.001208,0.001208
22,41.3419,0.92534,0.69519,0.89578,0.96969,0.95507,0.93141,0.71709,0.91615,0.6834,0.89762,0.0011684,0.0011684,0.0011684
23,43.1491,0.87381,0.67153,0.88918,0.9687,0.95522,0.93086,0.72164,0.93773,0.68931,0.90364,0.0011288,0.0011288,0.0011288
24,45.0153,0.87388,0.62873,0.88405,0.96815,0.95522,0.93065,0.71961,0.92294,0.6965,0.90356,0.0010892,0.0010892,0.0010892
25,46.8526,0.83786,0.61428,0.87937,0.95306,0.9403,0.93057,0.75474,0.86787,0.67489,0.89775,0.0010496,0.0010496,0.0010496
26,48.6768,0.82642,0.63711,0.88474,0.95314,0.9403,0.93035,0.73937,0.85383,0.6736,0.89901,0.00101,0.00101,0.00101
27,50.4936,0.83292,0.64121,0.88117,0.95309,0.9403,0.93007,0.73332,0.86473,0.64791,0.89106,0.0009704,0.0009704,0.0009704
28,52.3462,0.80117,0.61409,0.87057,0.96018,0.9403,0.93286,0.75568,0.83552,0.62617,0.88492,0.0009308,0.0009308,0.0009308
29,54.2146,0.77641,0.59997,0.86762,0.95517,0.9403,0.93124,0.76184,0.81354,0.60396,0.88096,0.0008912,0.0008912,0.0008912
30,56.1102,0.78654,0.60205,0.88067,0.96774,0.95522,0.93126,0.76114,0.80923,0.61057,0.88365,0.0008516,0.0008516,0.0008516
31,57.9261,0.76039,0.59945,0.87082,0.9681,0.95522,0.93142,0.75284,0.81117,0.61189,0.88773,0.000812,0.000812,0.000812
32,59.7972,0.73288,0.59029,0.87243,0.95296,0.9403,0.92774,0.75033,0.81425,0.60564,0.88674,0.0007724,0.0007724,0.0007724
33,61.6844,0.73705,0.57542,0.87551,0.95299,0.9403,0.92633,0.7495,0.79419,0.59005,0.87873,0.0007328,0.0007328,0.0007328
34,63.6255,0.76255,0.62953,0.88947,0.95243,0.9403,0.92611,0.76178,0.79656,0.59163,0.88297,0.0006932,0.0006932,0.0006932
35,65.461,0.74809,0.61884,0.88106,0.95237,0.9403,0.92487,0.76229,0.79784,0.59819,0.88392,0.0006536,0.0006536,0.0006536
36,67.3386,0.72639,0.57449,0.87348,0.95261,0.9403,0.92246,0.75438,0.78043,0.58088,0.87549,0.000614,0.000614,0.000614
37,69.2274,0.7255,0.57523,0.86688,0.96758,0.95522,0.93216,0.75479,0.75956,0.57099,0.8709,0.0005744,0.0005744,0.0005744
38,71.1666,0.70774,0.5612,0.87037,0.96819,0.95522,0.93274,0.76067,0.75493,0.56063,0.86903,0.0005348,0.0005348,0.0005348
39,72.9793,0.67388,0.56349,0.86342,0.95312,0.9403,0.92284,0.76106,0.75984,0.56553,0.87055,0.0004952,0.0004952,0.0004952
40,74.8799,0.67982,0.53552,0.85624,0.95343,0.9403,0.92241,0.75929,0.76397,0.56465,0.86863,0.0004556,0.0004556,0.0004556
41,94.1296,0.63569,0.56391,0.84305,0.95371,0.9403,0.92235,0.75773,0.75733,0.54971,0.86719,0.000416,0.000416,0.000416
42,95.9492,0.64149,0.55429,0.85278,0.9535,0.9403,0.9233,0.76102,0.78003,0.55738,0.86901,0.0003764,0.0003764,0.0003764
43,97.7752,0.63383,0.51489,0.84217,0.95336,0.9403,0.924,0.7655,0.7825,0.56092,0.87013,0.0003368,0.0003368,0.0003368
44,99.5889,0.62496,0.51363,0.84721,0.96827,0.95522,0.92859,0.7552,0.77086,0.55276,0.86773,0.0002972,0.0002972,0.0002972
