epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8222,0.73985,0.71599,0.9879,0.9671,0.91855,0.92645,0.80576,0.63514,0.47067,0.87377,0.000655556,0.000655556,0.000655556
2,25.6816,0.77758,0.72917,0.99419,0.97902,0.92708,0.92639,0.78471,0.65667,0.47636,0.88558,0.0012895,0.0012895,0.0012895
3,37.2095,0.82754,0.78285,1.00073,0.95572,0.91667,0.91764,0.78726,0.64372,0.53415,0.88087,0.00189044,0.00189044,0.00189044
4,49.0231,0.84662,0.80485,1.01601,0.94305,0.92708,0.9217,0.80404,0.6041,0.53423,0.88457,0.0018515,0.0018515,0.0018515
5,61.0431,0.82479,0.78983,1.01253,0.95353,0.92708,0.92119,0.7902,0.65188,0.48368,0.89554,0.001802,0.001802,0.001802
6,73.2435,0.82874,0.7738,1.01245,0.98477,0.92708,0.92187,0.77368,0.67739,0.49181,0.88461,0.0017525,0.0017525,0.0017525
7,85.3133,0.81093,0.77272,1.00185,0.96726,0.92325,0.91868,0.77697,0.66334,0.52777,0.89574,0.001703,0.001703,0.001703
8,97.3376,0.80411,0.7669,0.99375,0.8986,0.89583,0.90997,0.76865,0.71467,0.59356,0.92729,0.0016535,0.0016535,0.0016535
9,109.445,0.77766,0.75522,0.99789,0.954,0.92708,0.91478,0.77551,0.66607,0.54771,0.88842,0.001604,0.001604,0.001604
10,121.469,0.79001,0.74081,0.97832,0.97648,0.91667,0.92252,0.78344,0.65054,0.4952,0.88906,0.0015545,0.0015545,0.0015545
11,133.508,0.78257,0.73711,0.98231,0.97426,0.90625,0.91845,0.80339,0.60708,0.52294,0.88182,0.001505,0.001505,0.001505
12,145.825,0.77568,0.72573,0.98521,0.94901,0.90625,0.92078,0.79092,0.62612,0.50685,0.88744,0.0014555,0.0014555,0.0014555
13,157.881,0.77296,0.7211,0.98477,0.98208,0.92708,0.92262,0.78816,0.64548,0.51523,0.88821,0.001406,0.001406,0.001406
14,170.075,0.73722,0.68263,0.97302,0.97789,0.89583,0.9208,0.77961,0.65088,0.51693,0.88685,0.0013565,0.0013565,0.0013565
15,182.303,0.74387,0.69054,0.96838,0.96962,0.91667,0.9232,0.79914,0.61712,0.46889,0.86778,0.001307,0.001307,0.001307
16,194.491,0.73252,0.67154,0.9658,0.96722,0.92207,0.92476,0.79846,0.63323,0.48075,0.8984,0.0012575,0.0012575,0.0012575
17,206.708,0.73997,0.66981,0.96836,0.98888,0.9267,0.92549,0.80865,0.5941,0.43711,0.87738,0.001208,0.001208,0.001208
18,219.109,0.71614,0.65025,0.96623,0.97342,0.90625,0.92028,0.793,0.65415,0.45615,0.9034,0.0011585,0.0011585,0.0011585
19,231.63,0.71302,0.65138,0.96979,0.98885,0.92363,0.92703,0.81664,0.58078,0.44457,0.88039,0.001109,0.001109,0.001109
20,244.191,0.71593,0.66979,0.9684,0.97798,0.92536,0.9311,0.81979,0.59666,0.41965,0.87705,0.0010595,0.0010595,0.0010595
21,256.605,0.71739,0.669,0.96492,0.96387,0.92708,0.92017,0.80895,0.58715,0.43609,0.85955,0.00101,0.00101,0.00101
22,269.012,0.70685,0.63921,0.96682,0.98885,0.92363,0.92682,0.81186,0.5967,0.44017,0.86629,0.0009605,0.0009605,0.0009605
23,281.507,0.7009,0.63614,0.96323,0.98735,0.92708,0.92008,0.81238,0.60724,0.4504,0.87852,0.000911,0.000911,0.000911
24,294.129,0.66969,0.60419,0.94962,0.98884,0.92322,0.92183,0.81345,0.57599,0.42379,0.86589,0.0008615,0.0008615,0.0008615
25,306.85,0.66787,0.60177,0.94547,0.98575,0.92708,0.92541,0.82427,0.55975,0.42408,0.85105,0.000812,0.000812,0.000812
26,319.55,0.64295,0.59501,0.94458,0.98888,0.9263,0.92467,0.79817,0.59381,0.40934,0.87842,0.0007625,0.0007625,0.0007625
27,332.301,0.70692,0.61929,0.95592,0.97508,0.91667,0.92418,0.81276,0.57531,0.40382,0.87658,0.000713,0.000713,0.000713
28,344.955,0.66002,0.5891,0.9461,0.98798,0.91667,0.92451,0.81645,0.56168,0.41298,0.86804,0.0006635,0.0006635,0.0006635
29,357.465,0.64112,0.57494,0.93402,0.98711,0.92708,0.92712,0.8187,0.57773,0.39465,0.87604,0.000614,0.000614,0.000614
30,370.064,0.64399,0.57937,0.93467,0.98551,0.92708,0.92693,0.81845,0.56998,0.38848,0.87041,0.0005645,0.0005645,0.0005645
31,399.627,0.61869,0.55768,0.92919,0.98092,0.91667,0.93222,0.83419,0.53797,0.39302,0.84218,0.000515,0.000515,0.000515
32,411.797,0.59037,0.52217,0.9072,0.96622,0.92708,0.932,0.81414,0.58275,0.39423,0.86435,0.0004655,0.0004655,0.0004655
33,424.071,0.57538,0.53238,0.90852,0.98718,0.91667,0.93182,0.82929,0.57358,0.39775,0.86025,0.000416,0.000416,0.000416
34,436.418,0.58637,0.51999,0.90796,0.98093,0.92708,0.93337,0.82621,0.57396,0.40085,0.86292,0.0003665,0.0003665,0.0003665
35,448.815,0.58487,0.52613,0.90635,0.97309,0.92708,0.92737,0.82555,0.55662,0.41386,0.85685,0.000317,0.000317,0.000317
